Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
562,"562.23193","Escherichia coli O1:H7 strain ECO0815","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
573,"573.34234","Klebsiella pneumoniae strain INF357-sc-2280189","ciprofloxacin","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,"29340588"
1280,"1280.9916","Staphylococcus aureus C00008973","ciprofloxacin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
28901,"28901.24153","Salmonella enterica AUSMDU00033351","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"CLSI",2018,,,,"Laboratory Method",,"34907895"
48296,"48296.140","Acinetobacter pittii strain UKK-0536","ciprofloxacin","Susceptible","==0.25","=","0.25","mg/L","Broth dilution",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.97910","Escherichia coli 85f617ba-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,"E-test",,,,,,,"Laboratory Method",,
562,"562.97916","Escherichia coli e5ea25d0-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,"E-test",,,,,,,"Laboratory Method",,
562,"562.7731","Escherichia coli strain 202621_aEPEC","ciprofloxacin","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"30127495"
1717,"1717.791","Corynebacterium diphtheriae 06-1569","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,"Mueller Hinton Agar","Bio-Rad","eucast",2019,,,,"Laboratory Method",,"33246485"
90371,"90371.5578","Salmonella enterica subsp. enterica serovar Typhimurium H122020454","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"used breakpoint concentrations set in this publication",,,,,"Laboratory Method",,"25713745"
485,"485.14740","Neisseria gonorrhoeae AUSMDU00012627","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
562,"562.99535","Escherichia coli c9779726-7bb8-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
287,"287.7675","Pseudomonas aeruginosa strain PA_180","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"CLSI",2016,,,,"Laboratory Method",,"31594927"
1280,"1280.9939","Staphylococcus aureus C00012771","ciprofloxacin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1717,"1717.968","Corynebacterium diphtheriae FRC0421","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,"Mueller Hinton Agar","Bio-Rad","eucast",2019,,,,"Laboratory Method",,"33246485"
149539,"149539.3547","Salmonella enterica subsp. enterica serovar Enteritidis AUSMDU00008925","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"CLSI",2018,,,,"Laboratory Method",,"34907895"
1773,"1773.4687","Mycobacterium tuberculosis C00014822","ciprofloxacin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880;26116186"
28901,"28901.8475","Salmonella enterica strain CVM N29352","ciprofloxacin","Susceptible","0.015","<=","0.015","mg/L","Broth dilution",,,"Trek Diagnostic Systems","CLSI",,,,,"Laboratory Method",,
197,"197.16218","Campylobacter jejuni strain FSIS1606567","ciprofloxacin","Susceptible","0.06","=","0.06","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
562,"562.98930","Escherichia coli 8332b6f0-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
562,"562.100878","Escherichia coli cd1729b8-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
485,"485.14201","Neisseria gonorrhoeae AUSMDU00014478","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
623,"623.1426","Shigella flexneri strain AUSMDU00010207","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"CLSI",2017,,,,"Laboratory Method",,"30615105"
28901,"28901.23302","Salmonella enterica AUSMDU00014735","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"CLSI",2018,,,,"Laboratory Method",,"34907895"
485,"485.15658","Neisseria gonorrhoeae AUSMDU00011222","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
624,"624.2438","Shigella sonnei strain AUSMDU00009459","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"CLSI",2017,,,,"Laboratory Method",,"30615105"
1280,"1280.10043","Staphylococcus aureus C00013394","ciprofloxacin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
28901,"28901.22052","Salmonella enterica AUSMDU00032918","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"CLSI",2018,,,,"Laboratory Method",,"34907895"
1620419,"1620419.7","Salmonella enterica subsp. enterica serovar Typhimurium var. 5- strain CVM N43830","ciprofloxacin","Susceptible","=0.03","=","0.03","mg/L","Broth dilution",,"CMV2AGNF/CMV3AGNF","Thermo Fisher Scientific","CLSI",2015,,,,"Laboratory Method",,"27381390"
54388,"54388.203","Salmonella enterica subsp. enterica serovar Paratyphi A strain 20621_8#65","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"29684021"
573,"573.15563","Klebsiella pneumoniae strain KSB1_4G","ciprofloxacin","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,"28369261"
28901,"28901.22907","Salmonella enterica AUSMDU00018314","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"CLSI",2018,,,,"Laboratory Method",,"34907895"
1280,"1280.8710","Staphylococcus aureus C00003415","ciprofloxacin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
562,"562.100879","Escherichia coli cf30e644-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
1773,"1773.4637","Mycobacterium tuberculosis C00014765","ciprofloxacin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880;26116186"
108619,"108619.17","Salmonella enterica subsp. enterica serovar Newport strain CVM N46850","ciprofloxacin","Susceptible","<=0.015","<=","0.015","mg/L","Broth dilution",,"CMV2AGNF/CMV3AGNF","Thermo Fisher Scientific","CLSI",2015,,,,"Laboratory Method",,"27381390"
485,"485.15602","Neisseria gonorrhoeae AUSMDU00011100","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
562,"562.42815","Escherichia coli strain M55","ciprofloxacin","Susceptible","1","=","1","mg/L","Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,
562,"562.23312","Escherichia coli O18:H1 strain ECO0964","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
1402535,"1402535.3","Pseudomonas aeruginosa BWHPSA043","ciprofloxacin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,
485,"485.18473","Neisseria gonorrhoeae NGPT13110","ciprofloxacin","Susceptible",,,,,,,,,"EUCAST",2019,,,,"Laboratory Method",,"33245688"
562,"562.98444","Escherichia coli 6a2bb2b0-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
562,"562.23818","Escherichia coli O4:H1 strain ECO1210","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
197,"197.16008","Campylobacter jejuni strain FSIS1605865","ciprofloxacin","Susceptible","0.12","=","0.12","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
28901,"28901.23195","Salmonella enterica AUSMDU00033646","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"CLSI",2018,,,,"Laboratory Method",,"34907895"
1717,"1717.921","Corynebacterium diphtheriae FRC0209","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,"Mueller Hinton Agar","Bio-Rad","eucast",2019,,,,"Laboratory Method",,"33246485"
28901,"28901.9098","Salmonella enterica strain CVM N53834","ciprofloxacin","Susceptible","0.015","<=","0.015","mg/L","Broth dilution",,,"Trek Diagnostic Systems","CLSI",,,,,"Laboratory Method",,
562,"562.7689","Escherichia coli strain 202387","ciprofloxacin","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"30127495"
470,"470.7666","Acinetobacter baumannii strain MRSN7204","ciprofloxacin","Susceptible","1","=","1","mg/L","Broth dilution",,"BD Phoenix","BD","CLSI",,,,,"Laboratory Method",,
149391,"149391.38","Salmonella enterica subsp. enterica serovar Braenderup strain 114","ciprofloxacin","Susceptible",,,,,"Broth dilution",,"Sensititre NARMS/CMV3AGNF","Thermo Fisher Scientific","CLSI, NARMS",2015,,,,"Laboratory Method",,"29678910"
90370,"90370.2476","Salmonella enterica subsp. enterica serovar Typhi strain 311189_217103","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",2018,,,,"Laboratory Method",,"31253105"
485,"485.13563","Neisseria gonorrhoeae AUSMDU00011780","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
